writing	reading	meaning	level
平たい	ひらたい	flat, even, level, smooth; plain, clear	N1
比率	ひりつ	ratio, proportion, percentage	N1
肥料	ひりょう	fertilizer; manure	N1
比例	ひれい	proportion, ratio; be proportional, be in proportion	N1
疲労	ひろう	fatigue; to feel run down, to be fatigued	N1
広まる	ひろまる	spread (especially for rumors or disease to)	N1
貧困	ひんこん	poor, impoverished; poverty	N1
品質	ひんしつ	quality	N1
品種	ひんしゅ	brand, kind, description	N1
貧弱	ひんじゃく	poor, feeble, scanty; poorness, meagerness, scantiness	N1
頻繁	ひんぱん	frequent; frequency	N1
美	び	beautiful; beauty	N1
微笑	びしょう	smile	N1
美術	びじゅつ	fine arts	N1
吃驚	びっくり	a surprise, a fright; to be surprised, to be frightened	N1
びっしょり	びっしょり	all-wet; soaked; drenched	N1
描写	びょうしゃ	description; depiction; portrayal; to describe; to portray - (express figuratively into scripts, paintings, poems, etc)	N1
びり	びり	one who comes in last	N1
微量	びりょう	minuscule amount, extremely small quantity	N1
敏感	びんかん	sensitive; sensitivity	N1
貧乏	びんぼう	poor; poverty	N1
歩	ふ	a foot soldier (piece that can move one space forward), erroneously called as the equivalent of the pawn in Western chess	N1
不意	ふい	abrupt, unexpected; abruptness; suddenly, unexpectedly	N1
封	ふう	to seal, to close	N1
封鎖	ふうさ	a blockade; shutting up (a building etc.); blocking off; freezing funds; blockade; shut up (close a building etc. so that no one can enter); block off, cut off; freeze funds	N1
風習	ふうしゅう	custom (ordinary behaviour)	N1
風俗	ふうぞく	a custom; manners; mores; sexual services; the sex industry	N1
風土	ふうど	climate, natural features; the mental or emotional environment shaping culture	N1
不可欠	ふかけつ	indispensable, essential; indispensability, being essential	N1
深める	ふかめる	deepen	N1
不吉	ふきつ	inauspicious, ominous; bad luck, inauspiciousness	N1
不況	ふきょう	economic recession; depression	N1
布巾	ふきん	wiping cloth	N1
福	ふく	good luck, good fortune; happiness; a blessing; wealthy; a placename; a surname; a female given name	N1
復旧	ふっきゅう	restoration; be restored, recover	N1
複合	ふくごう	combined, composition; to be combined, to be composed of	N1
福祉	ふくし	welfare, well-being	N1
覆面	ふくめん	mask (cover for the face); anonymous; to be masked, to wear a mask	N1
膨れる	ふくれる	to swell, to expand	N1
不景気	ふけいき	depressed (business climate); slow (business), languishing; gloomy; economic downturn, recession, depressed economy; slow business; gloom, cheerlessness	N1
老ける	ふける	更ける, 深ける: to get late, to get deep (for night, season, etc.); 老ける, 化ける: to age; to become old; indulge in, be absorbed in	N1
布告	ふこく	proclamation; proclaim	N1
富豪	ふごう	wealthy person	N1
負債	ふさい	debts	N1
相応しい	ふさわしい	appropriate, proper, suitable	N1
不在	ふざい	absence	N1
負傷	ふしょう	an injury; be injured	N1
不審	ふしん	suspicious, strange, dubious; being suspicious, being doubtful, being questionable, strangeness	N1
不振	ふしん	dull, slow, stagnant, depressed; dull, stagnation, lull	N1
不順	ふじゅん	irregularity, unseasonableness	N1
付属	ふぞく	attachment, belonging; be attached to, belong to	N1
負担	ふたん	A burden, charge, or responsibility.; To bear or assume a responsibility; to incur a cost.	N1
不調	ふちょう	in bad shape, in a bad condition; a slump, a bad condition; failure, breakdown	N1
復活	ふっかつ	revival; return to life; resurgence, comeback; to return to life; come back to life; be revived; make a comeback	N1
復興	ふっこう	reconstruction, restoration; reconstruct, restore	N1
沸騰	ふっとう	boiling; to boil	N1
仏	ふつ	a buddha (enlightened or awakened sentient being); a statue or image of any buddha; a departed soul, deceased; a term that a parent calls a child expressing parental affection, equivalent to “my dear”; Buddhism; performing a Buddhist memorial service; the Sakyamuni Buddha, Nepalese spiritual and philosophical teacher and founder of Buddhism: Siddhartha Gautama; any of the other buddhas named in Buddhist scriptures; short for 仏陀 (Butsuda, Budda): Buddha; Buddha; short for 仏教 (Bukkyō) Buddhism; short for 仏像 (butsuzō) Buddhist image; short for フランス (Furansu): France	N1
不当	ふとう	unjust; unfair; invalid; injustice, unfairness, invalidity	N1
不動産	ふどうさん	real estate	N1
赴任	ふにん	taking up a new post; to take up a new post	N1
腐敗	ふはい	decay, putrefaction; corruption, such as political corruption; to rot, to decompose; to become corrupt	N1
不評	ふひょう	unpopularity; bad reputation	N1
不便	ふびん	inconvenient; inconvenience	N1
不服	ふふく	dissatisfied; dissatisfaction	N1
普遍	ふへん	being universal, ubiquitous	N1
踏まえる	ふまえる	to be based on some factual data, aware of it, or in light of it; to stand firmly	N1
文	ふみ	writing, something written; a letter (written communication), an epistle; study, scholarship (especially of classical Chinese); a style of 家紋 (kamon, “family crest”)	N1
不明	ふめい	unknown; unclear; indistinct; uncertainty; ignorance	N1
扶養	ふよう	support of dependents such as family; support family, provide for, sustain	N1
振り	ふり	swing; false pretense; pretending; setup line before punch line; swings; shakes; counter for swords; blades; etc.	N1
振り出し	ふりだし	starting point in the board game of sugoroku; starting point	N1
不良	ふりょう	bad, poor; deficiency, inferiority; bad behavior or conduct; juvenile delinquent, hooligan, hoodlum	N1
浮力	ふりょく	buoyancy	N1
震わせる	ふるわせる	to (cause something to) tremble, shake, quake (from an emotion)	N1
付録	ふろく	appendix, supplement	N1
分	ふん	minutes (duration); a minute (unit of time); a minute (unit of angle); a unit of weight ¹⁄₁₀ of a 匁 (monme, “3.75g”)	N1
憤慨	ふんがい	resentment, indignation; to resent	N1
紛失	ふんしつ	loss of something; lose; be lost	N1
噴出	ふんしゅつ	spewing, gushing; eruption, explosion of anger etc.; spew, gush; erupt, explode in anger etc.	N1
紛争	ふんそう	conflict, trouble; to dispute	N1
ふんだん	ふんだん	plentiful	N1
奮闘	ふんとう	struggle; to struggle	N1
粉末	ふんまつ	powder	N1
部	ぶ	copies of a newspaper or magazine; division, divide, a part; section, bureau, department; division, bureau; school club; category	N1
部下	ぶか	subordinate (one who is subordinate)	N1
ぶかぶか	ぶかぶか	too loose (of clothing); swollen and soft (e.g. from becoming damp); describes the sound made by a wind instrument	N1
侮辱	ぶじょく	an insult; to insult; to treat with contempt	N1
武装	ぶそう	armaments; be armed	N1
斑	ぶち	spots, speckles, patches (particularly in the coat of an animal)	N1
物資	ぶっし	goods; supplies; resources	N1
物体	ぶったい	physical object; object; body	N1
物議	ぶつぎ	public buzz and discussion (especially of a controversy)	N1
打付ける	ぶつける	bump into; throw; run into, meet someone by accident; try someone with a difficult question; snap at someone, turn one's negativity on someone	N1
仏像	ぶつぞう	image of Buddha; Buddhist statue	N1
無難	ぶなん	inoffensive; safe; free from trouble; faultless; tolerable; passable; inoffensiveness	N1
部門	ぶもん	division, group, branch	N1
ぶら下げる	ぶらさげる	hang, sling, suspend	N1
ぶらぶら	ぶらぶら	wandering; casually, aimlessly	N1
武力	ぶりょく	military force, armed might, the sword	N1
無礼	ぶれい	impolite, rude; impoliteness, rudeness	N1
文化財	ぶんかざい	cultural assets	N1
分業	ぶんぎょう	division of labor; to divide the labor	N1
文語	ぶんご	written language, literacy language; bungo, Classical Japanese	N1
分散	ぶんさん	dispersion; variance; liquidation of property or assets after bankruptcy; to disperse; to sell off property or assets after bankruptcy	N1
分子	ぶんし	element; numerator; molecule	N1
文書	ぶんしょ	a document, a written record; a letter, an epistle	N1
分担	ぶんたん	apportionment, allotment, division; to apportion, to allot, to divide, to share work, duties, responsibilities, etc.	N1
分配	ぶんぱい	distribution; allotment; allotting; to divide, to allot, to share	N1
分母	ぶんぼ	denominator (of a fraction)	N1
分離	ぶんり	separation; segregation; selectivity or sensitivity in a radio or similar device for certain frequencies; to separate; to segregate	N1
分裂	ぶんれつ	division, split, breakup; be divided; be split; break up	N1
兵器	へいき	a weapon; arms	N1
閉口	へいこう	shut mouth	N1
平行	へいこう	parallel; be parallel; alternative form of 並行; to be parallel	N1
閉鎖	へいさ	closure of a gate etc.; closing, closing down, lockout; to close an entrance; to close down a facility, company, etc.	N1
兵士	へいし	a soldier; a rank of a member of the Salvation Army	N1
平常	へいじょう	common, ordinary, usual; normal, not emergency; commonness, ordinariness, usuality; normality	N1
平方	へいほう	the second power of a number etc., square; a square area	N1
並列	へいれつ	parallel; juxtaposition	N1
辟易	へきえき	annoyance; to be annoyed, to shrink back; to be fed up with	N1
隔たる	へだたる	to be distant, apart; to differ greatly; to be estranged	N1
謙る	へりくだる	abase oneself while praising the listener	N1
経る	へる	pass, elapse, go through a period of time	N1
編	へん	compilation; a story arc	N1
偏	へん	the left-hand component of a kanji	N1
変革	へんかく	revolution, change, transformation; change, transform	N1
返還	へんかん	restoration, the return of something to its owner; return to its owner, restore	N1
偏見	へんけん	prejudice; prejudicial belief that one holds	N1
返済	へんさい	repayment; reimbursement; return of a loan; to repay; to reimburse; to return (something loaned)	N1
変遷	へんせん	transition, changes, vicissitudes; to change, to undergo a change	N1
返答	へんとう	answer	N1
変動	へんどう	change, fluctuation; change, fluctuate	N1
弁解	べんかい	excuse; explanation; justification; to make an excuse; to provide an explanation; to justify	N1
便宜	べんぎ	convenience, advantage; facilities	N1
弁護	べんご	advocacy, defense; advocate, plead	N1
弁償	べんしょう	compensation; reparation; to compensate; to pay reparations	N1
弁論	べんろん	discussion; debate; argument; to discuss; debate; argue	N1
ぺこぺこ	ぺこぺこ	expressing the sound of thin metal as it dents and collapses: \"plinkingly, tinkingly\"; expressing the idea of one's stomach collapsing inwards: \"extremely hungrily\"; humbly (see へこへこ); extremely hungry	N1
穂	ほ	ear of grain; tip of a brush	N1
保育	ほいく	nursing, childcare for infants; take care of an infant, nurse an infant	N1
倣	ほう	emulate; imitate	N1
法案	ほうあん	bill, a draft of a law	N1
崩壊	ほうかい	decay, deterioration, disintegration; collapse; to collapse; to decay, to deteriorate, to disintegrate	N1
法学	ほうがく	study of laws, jurisprudence	N1
放棄	ほうき	abandonment, giving up; abandonment, renunciation; to abandon, to give up; to abandon, to renounce, to relinquish	N1
宝器	ほうき	箒, 帚: broom; 芳気; 芳紀; 邦畿; 宝器; 放棄, 抛棄: abandonment, giving up; renunciation; 法規: the law; 法喜; 法器; 蜂起: rebellion, uprising, revolt; 伯耆: Hōki Province, an old province of Japan; 宝亀; 放棄, 抛棄: abandon, give up; renounce; 蜂起: rebel, rise up, revolt	N1
封建	ほうけん	feudalism	N1
豊作	ほうさく	plentiful harvest, bumper crop	N1
方策	ほうさく	policy; plan, scheme; method, means, measures	N1
奉仕	ほうし	attendance, service to one's country or community; offering goods at a discount; serve one's nation or community; offer goods at a discount	N1
方式	ほうしき	method; system	N1
放射	ほうしゃ	radiation; emission; to emit; to radiate	N1
放射能	ほうしゃのう	radioactivity	N1
報酬	ほうしゅう	remuneration, reward, recompense; toll	N1
放出	ほうしゅつ	release, emission; to release, to emit, to let out, to vent, discharge, to give out	N1
報じる	ほうじる	to repay; to report, to inform	N1
報ずる	ほうずる	to inform; to report	N1
放置	ほうち	leaving as-is, a neglect; to neglect, to leave alone; to abandon	N1
法廷	ほうてい	A court; a court of law.; The bench of a court.	N1
報道	ほうどう	news report, news, coverage, reportage; cover in the news, report in the news	N1
褒美	ほうび	reward as a form of praise, such as from a parent to a child	N1
葬る	ほうむる	to bury, to entomb; to consign to oblivion, to make a thing forgotten, to bury (a past etc.)	N1
放り込む	ほうりこむ	throw into	N1
放り出す	ほうりだす	to throw out	N1
飽和	ほうわ	saturation; be saturated	N1
保温	ほおん	retaining warmth; heat insulation; to keep heat (in)	N1
捕獲	ほかく	capture; to capture, to seize	N1
保管	ほかん	safekeeping, storage; custody; keep, maintain, store; have custody, have charge	N1
補給	ほきゅう	supplying, replenishment; supply, replenish	N1
補強	ほきょう	supplement, reinforcement, strengthening; supplement, reinforce	N1
保険	ほけん	insurance; fail-safe	N1
捕鯨	ほげい	whaling; Kankichi Ryotsu, and Shingo Katori who played him (from live-action TV series of KochiKame)	N1
誇る	ほこる	to pride oneself on; to be proud of; to boast (to have)	N1
綻びる	ほころびる	rip at the seams, come unsewn; start to bloom, for a bud to open; smile	N1
保護	ほご	protection; safeguard; to shield (to protect, to defend)	N1
乾	ほし	northwest; dehydrate; arid; drought; imbibe; paradise; the emperor; a surname; dry; the sky; the first of the eight trigrams of the I Ching ☰; the first of the sixty-four hexagrams of the I Ching ䷀	N1
干し物	ほしもの	dry goods, particularly dried foodstuffs; one's drying: laundry or other textiles, such as dying, set out in the sun to dry	N1
保守	ほしゅ	maintenance; conservation; political conservatism; maintain	N1
保障	ほしょう	guarantee; warranty; guarantee, endorse, assure	N1
補償	ほしょう	compensation; compensate	N1
補充	ほじゅう	supplementation; a refill, replacement, replenishment; supplement; replace, refill, replenish	N1
補助	ほじょ	help, aid; assistance; to help, to aid, to assist	N1
舗装	ほそう	pavement; pave	N1
補足	ほそく	supplement	N1
発作	ほっさ	paroxysmal attack; epileptic seizure; a fit of coughing; to have such a fit	N1
ほっと	ほっと	relaxing	N1
頬っぺた	ほっぺた	cheek	N1
辺り	ほとり	area; surroundings	N1
殆ど	ほとんど	almost, nearly, mostly (everyone, everywhere, everything, etc.); few, hardly (any); very nearly, close to, all but; the most of something, the majority or greater part of something	N1
解く	ほどく	to untie; to unravel; to undo (a fastening); unwrap; to dispel (doubts); to clear up (a matter)	N1
施す	ほどこす	to donate, to give; to do, to perform (a surgical operation), to administer (medical treatment); to apply (treatment to a material)	N1
保母	ほぼ	(female) nurse (a woman who takes care of other people’s young)	N1
保養	ほよう	comfort, nurture, recuperation, rest; recreation; recuperate; to rest, to relax	N1
捕吏	ほり	堀, 濠, 壕: ditch, canal; moat; 彫り: engraving; 捕吏; 堀, 保里: a surname; Japanese pronunciation of the Taiwanese town 埔里 (Pǔlǐ)	N1
捕虜	ほりょ	a prisoner of war	N1
滅びる	ほろびる	to die, to fall, to collapse, to perish; to die out; to become extinct	N1
滅ぼす	ほろぼす	to ruin, to destroy	N1
本格	ほんかく	basic rules; fundamental tenets	N1
本館	ほんかん	main building; this building	N1
本気	ほんき	serious; seriousness	N1
本質	ほんしつ	essence, nature (intrinsic quality)	N1
本体	ほんたい	this machine; main body, main unit; noumenon	N1
本音	ほんね	words stemming from one's true feelings	N1
本の	ほんの	little, slightly, mere, only	N1
本能	ほんのう	an instinct	N1
本場	ほんば	center; birthplace	N1
本文	ほんぶん	text, body of a book, document, etc.	N1
本名	ほんみょう	real name	N1
卯	ぼう	the Rabbit, the fourth of the twelve Earthly Branches	N1
防衛	ぼうえい	defense, self-defense; protection; to defend	N1
防火	ぼうか	fire prevention, fireproof, fire fighting	N1
妨害	ぼうがい	obstructing someone or something; obstruction, interference; obstruct, disturb, stand in the way	N1
紡績	ぼうせき	textile spinning; to spin	N1
呆然	ぼうぜん	dumbfounded; in amazement, dumbfoundedly	N1
膨脹	ぼうちょう	膨張: swelling; distension; expansion; inflation; 茅蜩: evening cicada; 膨張: to swell; to distend; to expand; to inflate	N1
冒頭	ぼうとう	the lead-in, the head, the introductory portion, the beginning of a text; the beginning (more generally); to lead into a text, to make introductory remarks	N1
暴動	ぼうどう	riot	N1
暴風	ぼうふう	windstorm, stormy wind, storm, gale	N1
暴力	ぼうりょく	violence (especially criminal), force	N1
募金	ぼきん	fundraising, collection of donation; money donation; to fundraise, to collect donation; to donate	N1
牧師	ぼくし	clergyman, pastor, minister, etc.	N1
母校	ぼこう	alma mater	N1
没収	ぼっしゅう	confiscation, seizure, forfeiture; confiscate, seize	N1
坊ちゃん	ぼっちゃん	son (of others)	N1
ぼつぼつ	ぼつぼつ	soon, especially used in conversation to suggest leaving soon; gradually; here and there; spots, pimples, a rash; 勃々: spirited; 勃々: energetically	N1
没落	ぼつらく	downfall, collapse; to become bankrupt; to fall, go to ruin	N1
ぼやく	ぼやく	to grumble, complain	N1
ぼやける	ぼやける	to become blurry or dim	N1
枚	まい	counter for flat and thin objects, such as sheets	N1
埋蔵	まいぞう	deposit; natural resources buried underground; to bury; to hide by burying	N1
舞う	まう	to dance; to twirl; to rotate or spin; to keep moving; to move continuously	N1
真上	まうえ	the area directly above	N1
前売り	まえうり	advance sale (of tickets); to sell a ticket or tickets in advance	N1
前置き	まえおき	preface; introduction; to preface	N1
前もって	まえもって	in advance, beforehand, previously	N1
任す	まかす	entrust; Classical Japanese form of 任せる (makaseru)	N1
負かす	まかす	to defeat (someone); to win against (someone)	N1
賄う	まかなう	to provide meals; to cover expenses	N1
曲がる	まがる	to bend, to curve, to warp, to wind, to twist; to turn; to be awry, to be askew, to be crooked	N1
巻	まき	scroll; book; reel of books; book; scroll; volume; chapter; volume of a book; reel of a film	N1
紛らわしい	まぎらわしい	mistakable, misleading, confusing; ambiguous	N1
紛れる	まぎれる	to disappear into; to be lost in; to slip into; to get mixed in among; to do something under the cover of (confusion, etc.); to be almost indistinguishable; to be confusingly similar; to be diverted from (negative emotions, etc.); to forget about; to be distracted by; to be too absorbed in	N1
膜	まく	membrane; film	N1
捲る	まくる	roll up (one's sleeves), tuck up; do something energetically, relentlessly	N1
真心	まこころ	sincerity, devotion	N1
誠	まこと	sincerity	N1
真に	まことに	truly, really	N1
間誤付く	まごつく	be baffled, be perplexed, be at a loss	N1
正しく	まさしく	certainly, surely, undoubtedly, evidently, really, truly; just, precisely, exactly	N1
正に	まさに	正に: (chiefly literary) truly; indeed; without doubt; 将に: (chiefly literary) will; going to; soon; in the near future; 方に: (chiefly literary) just; just when; at the time when; just now; now	N1
勝る	まさる	be superior to; excel; surpass; rival	N1
増し	まし	increase, extra; better, less objectionable, preferable	N1
真下	ました	the area directly below; right under	N1
況して	まして	still more, still less, let alone, to say nothing of	N1
交える	まじえる	mix, bring into; cross; exchange (words, fire)	N1
交わる	まじわる	to cross; to intersect; to associate with; to have sexual intercourse with	N1
麻酔	ますい	anesthesia	N1
益々	ますます	even more	N1
股	また	crotch, the space between the thighs; fork in a tree, river, and so on	N1
跨がる	またがる	straddle; extend into	N1
跨ぐ	またぐ	to step over, to cross; to span, to bridge	N1
瞬き	またたき	a wink; twinkling (e.g. of stars); a flicker (e.g. of light); stem or continuative form of 瞬く (matataku); stem or continuative form of 瞬く (mabataku)	N1
待ち合わせ	まちあわせ	appointment; arrangement for a meeting	N1
間違う	まちがう	to be wrong; to be incorrect; to make a mistake; to err; to confuse, to mistake something for something else	N1
待ち遠しい	まちどおしい	anxiously awaited	N1
待ち望む	まちのぞむ	eagerly await	N1
区々	まちまち	different from one another; differing from one to another	N1
末期	まっき	final period; terminal period; last stage.; terminal; approaching death.	N1
真っ二つ	まっぷたつ	into exactly two equal parts	N1
的	まと	a target, a mark, a bullseye; an objective, an object (of doing something)	N1
纏まり	まとまり	unity, coherence; settlement	N1
纏め	まとめ	collection (of information); summary; aggregation; imperfective and stem (or continuative) forms of まとめる (matomeru)	N1
免れる	まぬかれる	to escape; to evade	N1
招き	まねき	invitation	N1
麻痺	まひ	paralysis; to be paralyzed	N1
眩しい	まぶしい	dazzling, glaring, bright	N1
目蓋	まぶた	eyelid	N1
間々	まま	as it is; remaining in a certain state; while still; Expressing the intention of explaining a reason; because	N1
間もなく	まもなく	soon, before long, in a short time	N1
眉	まゆ	eyebrow	N1
鞠	まり	ball	N1
丸ごと	まるごと	entirely, wholly, completely, all of something (with an emphasis on leaving nothing out)	N1
丸っきり	まるっきり	completely, perfectly, just as if	N1
丸で	まるで	entirely, quite; completely; just like, so to speak, as though, as if	N1
丸々	まるまる	entirely, completely, wholly; plump, rotund, chubby; to be plump, rotund, chubby; symbol used as a placeholder	N1
丸める	まるめる	roll up, make into a ball; cajole, talk into	N1
満月	まんげつ	full moon	N1
満場	まんじょう	the whole audience; the entire crowd	N1
真ん前	まんまえ	right in front	N1
真ん丸い	まんまるい	perfectly round	N1
三	み	three; three, 3; third	N1
見合い	みあい	miai, formal marriage interview, marriage meeting; Same as above.	N1
見合わせる	みあわせる	to cancel in light of circumstances	N1
見落とす	みおとす	to overlook; to fail to notice	N1
未開	みかい	undeveloped; primitive; unexplored; being undeveloped; primitive; being unexplored	N1
味覚	みかく	sense of taste	N1
見掛ける	みかける	to come across, to notice, to happen to see	N1
三日月	みかづき	a crescent moon on the third day of a lunar month, especially on the eighth lunar month; short for 三日月形 (mikazuki-gata): a crescent moon in general; synonym of 小爪 (kozume): a claw in the shape of a crescent moon; a type of mask used in Noh; a placename; a surname; a male given name	N1
見方	みかた	aspect, viewpoint, opinion	N1
見苦しい	みぐるしい	ugly, hard to look at	N1
見込み	みこみ	chance, expectation, fear, hope, probability	N1
未婚	みこん	being unmarried and never having been married before	N1
惨め	みじめ	miserable, pitiful	N1
未熟	みじゅく	immature; unripe, green	N1
微塵	みじん	small piece, particle, fragment; small amount	N1
見すぼらしい	みすぼらしい	shabby, seedy	N1
見せびらかす	みせびらかす	show off	N1
見せ物	みせもの	act; show; spectacle; curiosity	N1
満たす	みたす	fill up; satisfy, meet (a requirement)	N1
乱す	みだす	to disturb; to lose presence of mind	N1
乱れる	みだれる	to be confused, to be disordered	N1
未知	みち	unknown	N1
導く	みちびく	to guide, to conduct	N1
身近	みぢか	near; familiar; nearness; familiarity	N1
密集	みっしゅう	crowd, cluster, swarm; to crowd together; to cluster closely	N1
密接	みっせつ	being physically close together; being closely related; deep, close (relationship)	N1
見っともない	みっともない	disgraceful, shameful, indecent; shabby, unsightly	N1
蜜	みつ	honey; nectar; molasses, treacle, syrup; short for 蜜砂糖 (mitsuzatō): brown sugar	N1
密度	みつど	density	N1
見積り	みつもり	alternative form of 見積もり	N1
未定	みてい	being pending, to be determined, undecided	N1
見通し	みとおし	view, outlook (wide visible area); prospect, forecast; insight; stem or continuative form of 見通す (mitōsu)	N1
源	みなもと	a fountainhead (source of a river); a source, origin; a surname, especially those who are descendants of Emperor Saga	N1
身なり	みなり	身形, 身なり: outfit, attire	N1
峰	みね	peak, ridge; top or summit of something; back of a blade; A place name; a female given name; a surname	N1
見逃す	みのがす	to fail to see; to overlook by accident (mistakes, etc.); to overlook on purpose; to let go (misdeeds, etc.); to forgive; to miss the opportunity to see (a television program, etc.)	N1
見晴らし	みはらし	view, vista	N1
身振り	みぶり	gesture, gesticulation	N1
見舞	みまい	enquiry, expression of sympathy, expression of concern	N1
脈	みゃく	pulse; chain of mountains; blood vessels; hope	N1
未練	みれん	unwilling to give up or leave; reluctance to abandon or depart from something; lingering	N1
見渡す	みわたす	to look off into the distance; to look at something as a whole; to contemplate; to behold	N1
民主	みんしゅ	democracy	N1
民宿	みんしゅく	a private home with lodging for travelers, similar to a bed and breakfast	N1
民族	みんぞく	people, race, ethnic group - people that have a common culture, common customs, etc.	N1
民俗	みんぞく	folklore; folkway; folk custom	N1
六	む	six	N1
無意味	むいみ	meaningless; nonsense; meaninglessness	N1
向き	むき	stem or continuative form of 向く (muku); direction, aspect, exposure, facet; target; aptitude, fitness, suitability; tendency, inclination, bent	N1
無口	むくち	reticent; reticence	N1
向け	むけ	for (directed at, intended to belong to); imperfective and stem (or continuative) forms of 向ける (mukeru)	N1
婿	むこ	a husband who has entered his wife's house:; a son-in-law; a groom, bridegroom (man who is about to get married)	N1
無効	むこう	ineffective, invalid; invalidity, no effect	N1
無言	むごん	silence	N1
毟る	むしる	pluck (feathers), pick, tear off	N1
無邪気	むじゃき	innocent; innocence	N1
結び	むすび	a tie, a knot, a bow; a knot bow on the back obi; 掬び: a scoop of water in both hands; a tie or bind between two people; a grilled rice ball; a rice ball compressed in both hands; a conclusion, an end of a story, a tying up, a tying up of loose ends; a union; a join	N1
結び付き	むすびつき	connection, relation, alliance	N1
結び付く	むすびつく	be joined together; be related, be tied to, correspond to	N1
結び付ける	むすびつける	to tie to; to tie together; to fasten; to relate to; to connect with; to bring together	N1
無線	むせん	wireless	N1
無駄遣い	むだづかい	wasting one's time or money, wasteful spending; to waste money	N1
無断	むだん	without permission; without notice	N1
無知	むち	ignorant; ignorance	N1
無茶	むちゃ	absurd, nonsensical, unreasonable; excessive, extreme, exorbitant; rash, reckless; absurdity, nonsense, unreasonableness; excessiveness, extremeness, exorbitance; rashness, recklessness	N1
無茶苦茶	むちゃくちゃ	alternative form of むちゃ	N1
空しい	むなしい	empty, hollow, void; groundless, baseless, false; uncertain, unreliable, vain, futile; dead, lifeless; unthinking (about someone), unattached (to someone)	N1
無念	むねん	regret	N1
無能	むのう	incompetent, untalented; incompetence; a good-for-nothing	N1
無闇に	むやみに	unreasonably, absurdly, recklessly, indiscreetly, at random	N1
無用	むよう	useless; unnecessary; needless; forbidden, no (...ing); uselessness; needlessness; forbiddenness; being forbidden	N1
群がる	むらがる	cluster; crowd around; flock, gather, herd	N1
無論	むろん	no doubt, naturally, of course, it goes without saying; something that is clearly the case	N1
名産	めいさん	noted product; famous product; specialty	N1
名称	めいしょう	name (for an object)	N1
命中	めいちゅう	a direct hit, bull's eye; to make a direct hit	N1
名簿	めいぼ	list of names, register, roll	N1
名誉	めいよ	famous; honorable; honorary; fame; honor, prestige; being honorable	N1
明瞭	めいりょう	clear, apparent; clarity, apparency	N1
明朗	めいろう	cheerful, bright; fair, aboveboard; cheerfulness; fairness	N1
目方	めかた	weight	N1
恵み	めぐみ	blessing; a female given name	N1
恵む	めぐむ	to bless; to show mercy to	N1
目覚しい	めざましい	brilliant, splendid, striking, remarkable	N1
目覚める	めざめる	to awaken	N1
召す	めす	call, summon; eat; wear; take a bath; catch a cold; commit seppuku; amuse someone, tickle someone's fancy	N1
雌	めす	a female (plant or animal); a female person; bitch; an internal socket	N1
滅茶苦茶	めちゃくちゃ	absurd, unreasonable, illogical; incoherent, disorderly, messy; reckless, excessive; ruined, destroyed; very, really	N1
目付き	めつき	gaze; look	N1
滅亡	めつぼう	death, collapse; extinction; to die, to perish; to die out, to become extinct	N1
愛でたい	めでたい	auspicious (auguring favourable circumstances and good luck)	N1
目眩	めまい	dizziness; to feel dizzy	N1
目盛	めもり	scale, gradations	N1
面会	めんかい	face-to-face meeting; meet face-to-face	N1
免除	めんじょ	exemption; exempt	N1
面する	めんする	face, look out on; confront	N1
面目	めんぼく	one's honor; appearance	N1
設ける	もうける	set up a business, system, institution, committee, account, etc.	N1
申し入れる	もうしいれる	offer, propose	N1
申し込み	もうしこみ	application (a verbal or written request)	N1
申出	もうしで	proposal, request, claim, report, notice	N1
申し出る	もうしでる	offer, propose; apply, ask; notify	N1
申し分	もうしぶん	a complaint; something lacking, a shortcoming, a point worthy of criticism	N1
盲点	もうてん	blind spot (place where the optic nerve attaches to the retina); something overlooked, a point not noticed	N1
猛烈	もうれつ	extreme, strong, driving (rain), blistering (heat or attack), ardent, furious; being extreme, being strong, impetuosity	N1
藻掻く	もがく	alternative form of もがく	N1
目録	もくろく	catalog, list	N1
目論見	もくろみ	plan, project; scheme	N1
模型	もけい	a model	N1
模索	もさく	groping; to grope, to fumble for	N1
若し	もし	若し: if; supposing; 若し: perhaps; 若し: or maybe; Used to attract the attention of someone.	N1
若しかしたら	もしかしたら	perhaps, maybe, possibly	N1
若しかして	もしかして	could it be that	N1
若しかすると	もしかすると	if that is the case, then ...	N1
若しくは	もしくは	or	N1
若しも	もしも	even if	N1
齎らす	もたらす	alternative form of 齎す	N1
凭れる	もたれる	to lean on, to lean against; to be indigestive (see also 胃もたれ)	N1
持ち	もち	holding, possession; wear, durability; stem or continuative form of 持つ (motsu)	N1
持ち切り	もちきり	hot topic; a topic throughout a period	N1
物体ない	もったいない	too good, more than one deserves, wasteful, sacrilegious, unworthy of	N1
以て	もって	with; by; conjunctive form of 持つ (motsu)	N1
専ら	もっぱら	wholly, entirely; mainly, chiefly	N1
持て成す	もてなす	to receive (a visitor); to treat; to welcome	N1
持てる	もてる	to be popular, to be well-liked by people (e.g. to be popular among women); potential form of 持つ (motsu) [godan]: to be able to have or hold; to withstand, to endure	N1
基	もとい	foundation; reason; a male given name; a surname	N1
物置き	ものおき	alternative form of 物置	N1
物好き	ものずき	having abnormal hobbies; delicate, meticulous; curious; hobby	N1
物足りない	ものたりない	unsatisfactory; discontent; not adequate (in one's subjective feeling); leaving one wanting more	N1
